"hanZi","unicode","gbk","pinYin","buShou","biHua","wuXing","fanTi","wuBi"
"侚","0x4f9a","81f9","xùn","亻","8","null","侚","WQJG"
"供","0x4f9b","b9a9","gòng gōng","亻","8","木","供","WAWY"
"侜","0x4f9c","81fa","zhōu","亻","8","null","侜","WTEY"
"依","0x4f9d","d2c0","yī","亻","8","土","依","WYEY"
"侞","0x4f9e","81fb","rú","亻","8","null","侞","WVKG"
"侟","0x4f9f","81fc","jiàn cún","亻","8","null","侟","WDHB"
"侠","0x4fa0","cfc0","xiá","亻","8","木","俠","WGUW"
"価","0x4fa1","81fd","sì","亻","8","null","価","WSG"
"侢","0x4fa2","81fe","dài","亻","8","null","侢","WGMF"
"侣","0x4fa3","c2c2","lǚ","亻","8","火","侣","WKKG"
"侤","0x4fa4","8240","ta","亻","8","null","侤","WFTN"
"侥","0x4fa5","bdc4","yáo jiǎo","亻","8","木","僥","WATQ"
"侦","0x4fa6","d5ec","zhēn","亻","8","火","偵","WHMY"
"侧","0x4fa7","b2e0","cè zè zhāi","亻","8","金","側","WMJH"
"侨","0x4fa8","c7c8","qiáo","亻","8","木","僑","WTDJ"
"侩","0x4fa9","bfeb","kuài","亻","8","木","儈","WWFC"
"侪","0x4faa","d9ad","chái","亻","8","金","儕","WYJH"
"侫","0x4fab","8241","nìng","亻","8","null","侫","WYNV"
"侬","0x4fac","d9af","nóng","亻","8","火","儂","WPEY"
"侭","0x4fad","8242","jǐn","亻","8","null","侭","WNYU"
"侮","0x4fae","ceea","wǔ","亻","9","土","侮","WTXU"
"侯","0x4faf","baee","hòu hóu","亻","9","水","侯","WNTD"
"侰","0x4fb0","8243","jiǒng","亻","9","null","侰","WVTK"
"侱","0x4fb1","8244","chěng tǐng","亻","9","null","侱","WKGG"
"侲","0x4fb2","8245","zhèn zhēn","亻","9","null","侲","WDFE"
"侳","0x4fb3","8246","zuò","亻","9","null","侳","WWWF"
"侴","0x4fb4","8247","chǒu","人","9","null","侴","WGNJ"
"侵","0x4fb5","c7d6","qīn","亻","9","金","侵","WVPC"
"侶","0x4fb6","8248","lǚ","亻","9","null","侶","WKTK"
"侷","0x4fb7","8249","jú","亻","9","null","侷","WNNK"
"侸","0x4fb8","824a","shù dōu","亻","9","null","侸","WGKU"
"侹","0x4fb9","824b","tǐng","亻","8","null","侹","WTFP"
"侺","0x4fba","824c","shèn","亻","9","-","侺","WMWN"
"侻","0x4fbb","824d","tuì tuó","亻","9","null","侻","WUKQ"
"侼","0x4fbc","824e","bó","亻","9","null","侼","WFPB"
"侽","0x4fbd","824f","nán","亻","9","null","侽","WLLN"
"侾","0x4fbe","8250","xiāo","亻","9","null","侾","WFTB"
"便","0x4fbf","b1e3","biàn pián","亻","9","水","便","WGJQ"
"俀","0x4fc0","8251","tuǐ","亻","9","null","俀","WEVG"
"俁","0x4fc1","8252","yǔ","亻","9","null","俁","WKND"
"係","0x4fc2","8253","xì","亻","9","null","null","WTXI"
"促","0x4fc3","b4d9","cù","亻","9","金","促","WKHY"
"俄","0x4fc4","b6ed","é","亻","9","木","俄","WTRT"
"俅","0x4fc5","d9b4","qiú","亻","9","木","俅","WFIY"
"俆","0x4fc6","8254","xú","亻","9","null","俆","WWTY"
"俇","0x4fc7","8255","guàng kuāng","亻","9","null","俇","WQTG"
"俈","0x4fc8","8256","kù","亻","9","null","俈","WTFK"
"俉","0x4fc9","8257","wù","亻","9","null","俉","WGKG"
"俊","0x4fca","bfa1","jùn","亻","9","火","俊","WCWT"
"俋","0x4fcb","8258","yì","亻","9","null","俋","WKCN"
"俌","0x4fcc","8259","fǔ","亻","9","null","俌","WGEY"
"俍","0x4fcd","825a","liáng","亻","9","null","俍","WYVE"
"俎","0x4fce","d9de","zǔ","人","9","金","俎","WWEG"
"俏","0x4fcf","c7ce","qiào xiào","亻","9","木","俏","WIEG"
"俐","0x4fd0","c0fe","lì","亻","9","火","俐","WTJH"
"俑","0x4fd1","d9b8","yǒng","亻","9","土","俑","WCEH"
"俒","0x4fd2","825b","hùn","亻","9","null","俒","WPFQ"
"俓","0x4fd3","825c","jìng","亻","9","金","俓","WGVA"
"俔","0x4fd4","825d","qiàn","亻","9","null","null","WHQN"
"俕","0x4fd5","825e","sàn","亻","9","null","俕","WPSY"
"俖","0x4fd6","825f","pěi","亻","9","null","俖","WGIK"
"俗","0x4fd7","cbd7","sú","亻","9","金","俗","WWWK"
"俘","0x4fd8","b7fd","fú","亻","9","水","俘","WEBG"
"俙","0x4fd9","8260","xī","亻","9","null","俙","WQDH"
"俚","0x4fda","d9b5","lǐ","亻","9","火","俚","WJFG"
"俛","0x4fdb","8261","fǔ","亻","9","null","俛","WQKQ"
"俜","0x4fdc","d9b7","pīng","亻","9","水","俜","WMGN"
"保","0x4fdd","b1a3","bǎo","亻","9","水","保","WKSY"
"俞","0x4fde","d3e1","yú shù yù","人","9","金","俞","WGEJ"
"俟","0x4fdf","d9b9","sì qí","亻","9","金","俟","WCTD"
"俠","0x4fe0","8262","xiá","亻","9","null","null","WDWW"
"信","0x4fe1","d0c5","xìn shēn","亻","9","金","信","WYG"
"俢","0x4fe2","8263","xiū","亻","8","null","俢","WTET"
"俣","0x4fe3","d9b6","yǔ","亻","9","金","俣","WKGD"
"俤","0x4fe4","8264","dì","亻","9","null","俤","WUXT"
"俥","0x4fe5","8265","chē jū","亻","9","null","俥","WLH"
"俦","0x4fe6","d9b1","chóu","亻","9","火","儔","WDTF"
"俧","0x4fe7","8266","zhì","亻","9","null","俧","WFNY"
"俨","0x4fe8","d9b2","yǎn","亻","9","木","儼","WGOD"
"俩","0x4fe9","c1a9","liǎ liǎng","亻","9","火","倆","WGMW"
"俪","0x4fea","d9b3","lì","亻","9","火","儷","WGMY"
"俫","0x4feb","8267","lái","亻","9","null","倈","WGOY"
"俬","0x4fec","8268","sī","亻","9","null","俬","WTCY"
"俭","0x4fed","bcf3","jiǎn","亻","9","木","儉","WWGI"
"修","0x4fee","d0de","xiū","亻","9","金","修","WHTE"
"俯","0x4fef","b8a9","fǔ","亻","10","水","俯","WYWF"
"俰","0x4ff0","8269","huò","亻","10","null","俰","WTKG"
"俱","0x4ff1","bee3","jù jū","亻","10","木","俱","WHWY"
"俲","0x4ff2","826a","xiào","亻","10","null","俲","WUQL"
"俳","0x4ff3","d9bd","pái","亻","10","水","俳","WDJD"
"俴","0x4ff4","826b","jiàn","亻","10","null","俴","WAAT"
"俵","0x4ff5","826c","biào","亻","10","水","俵","WGEY"
"俶","0x4ff6","826d","chù tì","亻","10","金","俶","WHIC"
"俷","0x4ff7","826e","fèi","亻","10","null","俷","WECN"
"俸","0x4ff8","d9ba","fèng","亻","10","水","俸","WDWH"
"俹","0x4ff9","826f","yà","亻","10","null","俹","WGHG"
"俺","0x4ffa","b0b3","ǎn","亻","10","土","俺","WDJN"
"俻","0x4ffb","8270","bèi","亻","10","null","俻","WTLG"
"俼","0x4ffc","8271","yù","亻","10","null","俼","WYCE"
"俽","0x4ffd","8272","xīn","亻","10","null","俽","WRQW"
"俾","0x4ffe","d9c2","bǐ","亻","10","水","俾","WRTF"
"俿","0x4fff","8273","hǔ chí","亻","10","null","俿","WHAM"
"倀","0x5000","8274","chāng","亻","10","null","null","WDEY"
"倁","0x5001","8275","zhī","亻","10","null","倁","WTDK"
"倂","0x5002","8276","bìng","亻","10","null","倂","WTFF"
"倃","0x5003","8277","jiù","亻","10","null","倃","WTHK"
"倄","0x5004","8278","yáo","亻","10","null","倄","WQDE"
"倅","0x5005","8279","cuì zú","亻","10","null","倅","WYWF"
"倆","0x5006","827a","liǎng liǎ","亻","10","null","null","null"
"倇","0x5007","827b","wǎn","亻","10","null","倇","WPQB"
"倈","0x5008","827c","lái","亻","10","null","null","WSWW"
"倉","0x5009","827d","cāng","人","10","null","null","WYVK"
"倊","0x500a","827e","zǒng","亻","10","null","倊","WWCN"
"個","0x500b","8280","gè gě","亻","10","null","null","WLDG"
"倌","0x500c","d9c4","guān","亻","10","木","倌","WPNN"
"倍","0x500d","b1b6","bèi","亻","10","水","倍","WUKG"
"倎","0x500e","8281","tiǎn","亻","10","null","倎","WMAW"
"倏","0x500f","d9bf","shū","亻","10","木","倏","WHTD"
"倐","0x5010","8282","shū","亻","10","null","倐","WHTO"
"們","0x5011","8283","mén","亻","10","null","null","WUG"
"倒","0x5012","b5b9","dǎo dào","亻","10","火","倒","WGCJ"
"倓","0x5013","8284","tán tàn","亻","10","null","倓","WOOY"
"倔","0x5014","bef3","juè jué","亻","10","火","倔","WNBM"
"倕","0x5015","8285","chuí","亻","10","null","倕","WTGF"
"倖","0x5016","8286","xìng","亻","10","null","倖","WFUF"
"倗","0x5017","8287","péng","亻","10","null","倗","WEEG"
"倘","0x5018","ccc8","tǎng cháng","亻","10","火","倘","WIMK"
"候","0x5019","baf2","hòu","亻","10","水","候","WHND"
"倚","0x501a","d2d0","null","null",,"null","null","null"
"倛","0x501b","8288","qī","亻","10","null","倛","WADW"
"倜","0x501c","d9c3","tì","亻","10","火","倜","WMFK"
"倝","0x501d","8289","gàn","人","10","null","倝","FJWY"
"倞","0x501e","828a","liàng jìng","亻","10","-","倞","WYIY"
"借","0x501f","bde8","jiè","亻","10","金","藉","WAJG"
"倠","0x5020","828b","suī","亻","10","null","倠","WWYG"
"倡","0x5021","b3ab","chàng chāng","亻","10","金","倡","WJJG"
"倢","0x5022","828c","jié","亻","10","null","倢","WGVH"
"倣","0x5023","828d","fǎng","亻","10","null","倣","null"
"値","0x5024","828e","zhí","亻","10","null","値","WFHN"
"倥","0x5025","d9c5","kǒng kōng","亻","10","木","倥","WPWA"
"倦","0x5026","beeb","juàn","亻","10","木","倦","WUDB"
"倧","0x5027","828f","zōng","亻","10","null","倧","WPFI"
"倨","0x5028","d9c6","jù","亻","10","木","倨","WNDG"
"倩","0x5029","d9bb","qiàn","亻","10","金","倩","WGEG"
"倪","0x502a","c4df","ní","亻","10","金","倪","WVQN"
"倫","0x502b","8290","lún","亻","10","null","null","WWGA"
"倬","0x502c","d9be","zhuō","亻","10","火","倬","WHJH"
"倭","0x502d","d9c1","wō wēi","亻","10","火","倭","WTVG"
"倮","0x502e","d9c0","luǒ","亻","10","火","倮","WJSY"
"倯","0x502f","8291","sōng","亻","10","null","倯","WSWC"
"倰","0x5030","8292","lèng","亻","10","null","倰","WFWT"
"倱","0x5031","8293","hùn","亻","10","null","倱","WJXX"
"倲","0x5032","8294","dōng","亻","10","null","倲","WGJI"
"倳","0x5033","8295","zì","亻","10","null","倳","WGKH"
"倴","0x5034","8296","bèn","亻","10","水","倴","WDFA"
"倵","0x5035","8297","wǔ","亻","10","null","倵","WGAH"
"倶","0x5036","8298","jù","亻","10","null","倶","WHGW"
"倷","0x5037","8299","nǎi","亻","10","null","倷","WDFI"
"倸","0x5038","829a","cǎi","亻","10","null","倸","WESY"
"倹","0x5039","829b","jiǎn","亻","10","null","倹","WWGW"
"债","0x503a","d5ae","zhài","亻","10","金","債","WGMY"
"倻","0x503b","829c","yē","亻","10","null","倻","WBBH"
"值","0x503c","d6b5","zhí","亻","10","火","值","WFHG"
"倽","0x503d","829d","shà","亻","10","null","倽","WWFK"
"倾","0x503e","c7e3","qīng","亻","10","木","傾","WXDM"
"倿","0x503f","829e","nìng","亻","10","null","倿","WUVG"
"偀","0x5040","829f","yīng","亻","10","null","偀","WAMD"
"偁","0x5041","82a0","chēng chèn","亻","11","金","偁","WEMF"
"偂","0x5042","82a1","qián","亻","11","null","偂","WUEJ"
"偃","0x5043","d9c8","yǎn","亻","11","土","偃","WAJV"
"偄","0x5044","82a2","ruǎn","亻","11","null","偄","WDMD"
"偅","0x5045","82a3","zhòng tóng","亻","11","null","偅","WTGF"
"偆","0x5046","82a4","chǔn","亻","11","null","偆","null"
"假","0x5047","bcd9","jiǎ jià","亻","11","木","假","WNHC"
"偈","0x5048","d9ca","null","null",,"null","null","null"
"偉","0x5049","82a5","wěi","亻","11","null","null","WNHH"
"偊","0x504a","82a6","yǔ","亻","11","null","偊","WTKY"
"偋","0x504b","82a7","bǐng bìng","亻","11","null","偋","WNUA"
"偌","0x504c","d9bc","ruò","亻","10","火","偌","WADK"
"偍","0x504d","82a8","tí","亻","11","null","偍","WJGH"
"偎","0x504e","d9cb","wēi","亻","11","水","偎","WLGE"
"偏","0x504f","c6ab","piān","亻","11","水","偏","WYNA"
"偐","0x5050","82a9","yàn","亻","11","null","偐","WUTE"
"偑","0x5051","82aa","fēng","亻","11","null","偑","WMTJ"
"偒","0x5052","82ab","tǎng dàng","亻","11","null","偒","WJGR"
"偓","0x5053","82ac","wò","亻","11","木","偓","WNGF"
"偔","0x5054","82ad","è","亻","11","null","偔","WKKN"
"偕","0x5055","d9c9","xié","亻","11","木","偕","WXXR"
"偖","0x5056","82ae","chě","亻","10","null","偖","WFTJ"
"偗","0x5057","82af","shěng","亻","11","null","偗","WITH"
"偘","0x5058","82b0","kǎn","亻","11","null","偘","WKKK"
"偙","0x5059","82b1","dì","亻","11","null","偙","WUPH"
"做","0x505a","d7f6","zuò","亻","11","金","做","WDTY"
"偛","0x505b","82b2","chā","亻","11","null","偛","WTFV"
"停","0x505c","cda3","tíng","亻","11","火","停","WYPS"
"偝","0x505d","82b3","bèi","亻","11","水","偝","WUXE"
"偞","0x505e","82b4","xiè","亻","11","null","偞","WANS"
"偟","0x505f","82b5","huáng","亻","11","null","偟","WRGG"
"偠","0x5060","82b6","yǎo","亻","11","null","偠","WSVG"
"偡","0x5061","82b7","zhàn","亻","11","null","偡","WADN"
"偢","0x5062","82b8","chǒu qiào","亻","11","金","偢","WTOY"
"偣","0x5063","82b9","ān","亻","11","null","偣","WUJG"
"偤","0x5064","82ba","yóu","亻","11","null","偤","WUSG"
"健","0x5065","bda1","jiàn","亻","10","木","健","WVFP"
"偦","0x5066","82bb","xū","亻","11","null","偦","WNHE"
"偧","0x5067","82bc","zhā","亻","11","null","偧","WDQQ"
"偨","0x5068","82bd","cī","亻","12","null","偨","WHXS"
"偩","0x5069","82be","fù","亻","11","null","偩","null"
"偪","0x506a","82bf","bī","亻","11","水","偪","WGKL"
"偫","0x506b","82c0","zhì","亻","11","null","偫","WTFF"
"偬","0x506c","d9cc","zǒng","亻","11","火","偬","WQRN"
"偭","0x506d","82c1","miǎn","亻","11","null","偭","WDMD"
"偮","0x506e","82c2","jí","亻","11","null","偮","WKBG"
"偯","0x506f","82c3","yǐ","亻","11","null","偯","WYEY"
"偰","0x5070","82c4","xiè","亻","11","金","偰","WDHD"
"偱","0x5071","82c5","xún","亻","11","null","偱","WRFH"
"偲","0x5072","82c6","cāi sī","亻","11","金","偲","WLNY"
"偳","0x5073","82c7","duān","亻","11","-","偳","WMDJ"
"側","0x5074","82c8","cè zè zhāi","亻","11","null","null","WMJH"
"偵","0x5075","82c9","zhēn","亻","11","null","null","WHMY"
"偶","0x5076","c5bc","ǒu","亻","11","木","偶","WJMY"
"偷","0x5077","cdb5","tōu","亻","11","金","偷","WWGJ"
"偸","0x5078","82ca","tōu","亻","11","null","偸","WWGB"
"偹","0x5079","82cb","bèi","亻","11","null","偹","WHTL"
"偺","0x507a","82cc","zán zá zǎ","亻","11","null","偺","WTHJ"
"偻","0x507b","d9cd","lǚ lóu","亻","11","火","僂","WOVG"
"偼","0x507c","82cd","jié","亻","11","null","偼","WHVH"
"偽","0x507d","82ce","wěi","亻","11","null","偽","WYTO"
"偾","0x507e","d9c7","fèn","亻","11","水","僨","WFAM"
"偿","0x507f","b3a5","cháng","亻","11","金","償","WIPC"
"傀","0x5080","bffe","guī kuǐ","亻","11","木","傀","WRQC"
"傁","0x5081","82cf","sǒu","亻","11","null","傁","WVHC"
"傂","0x5082","82d0","zhì sī tí","亻","12","null","傂","WRHM"
"傃","0x5083","82d1","sù","亻","12","null","傃","WGXI"
"傄","0x5084","82d2","xiā","亻","12","null","傄","WDUH"
"傅","0x5085","b8b5","fù","亻","12","水","傅","WGEF"
"傆","0x5086","82d3","yuàn yuán","亻","12","null","傆","WDRI"
"傇","0x5087","82d4","rǒng","亻","11","null","傇","WABG"
"傈","0x5088","c0fc","lì","亻","12","火","傈","WSSY"
"傉","0x5089","82d5","nù","亻","12","null","傉","WDFF"
"傊","0x508a","82d6","yùn","亻","12","null","傊","WKMY"
"傋","0x508b","82d7","gòu jiǎng","亻","12","null","傋","WFJF"
"傌","0x508c","82d8","mà","亻","12","水","傌","WCY"
"傍","0x508d","b0f8","bàng","亻","12","水","傍","WUPY"
"傎","0x508e","82d9","diān","亻","12","null","傎","WFHW"
"傏","0x508f","82da","táng","亻","12","null","傏","WYVK"
"傐","0x5090","82db","hào","亻","12","null","傐","WYMK"
"傑","0x5091","82dc","jié","亻","12","null","傑","null"
"傒","0x5092","82dd","xī xì","亻","12","金","傒","WEXD"
"傓","0x5093","82de","shān","亻","12","null","傓","WYNN"
"傔","0x5094","82df","qiàn jiān","亻","12","null","傔","WUVO"
"傕","0x5095","82e0","què jué","亻","12","null","傕","WPWY"
"傖","0x5096","82e1","cāng chen","亻","12","null","null","WWYK"
"傗","0x5097","82e2","chù","亻","12","null","傗","WYXL"
"傘","0x5098","82e3","sǎn","人","12","null","null","WWWF"
"備","0x5099","82e4","bèi","亻","12","null","null","WATE"
"傚","0x509a","82e5","xiào","亻","12","null","傚","WUQT"
"傛","0x509b","82e6","róng","亻","12","null","傛","WPWK"
"傜","0x509c","82e7","yáo","亻","12","木","傜","WERM"
"傝","0x509d","82e8","tà tàn","亻","12","null","傝","WJNG"
"傞","0x509e","82e9","suō","亻","11","null","傞","WUDA"
"傟","0x509f","82ea","yǎng","亻","12","null","傟","WWCN"
"傠","0x50a0","82eb","fá","亻","12","null","傠","WYFY"
"傡","0x50a1","82ec","bìng","亻","12","null","傡","WUUG"
"傢","0x50a2","82ed","jiā","亻","12","null","null","WPEY"
"傣","0x50a3","b4f6","dǎi","亻","12","火","傣","WDWI"
"傤","0x50a4","82ee","zài","亻","12","null","傤","WFAL"
"傥","0x50a5","d9ce","tǎng","亻","12","火","儻","WIPQ"
"傦","0x50a6","82ef","gǔ","亻","11","null","傦","WMEG"
"傧","0x50a7","d9cf","bīn","亻","12","水","儐","WPRW"
"储","0x50a8","b4a2","chǔ","亻","12","金","儲","WYFJ"
"傩","0x50a9","d9d0","nuó","亻","12","火","儺","WCWY"
"傪","0x50aa","82f0","cān càn","亻","13","null","傪","WCCE"
"傫","0x50ab","82f1","lěi","亻","13","火","傫","WLXI"
"催","0x50ac","b4df","cuī","亻","13","金","催","WMWY"
"傭","0x50ad","82f2","yōng","亻","13","null","null","WYVH"
"傮","0x50ae","82f3","zāo cáo","亻","13","null","傮","WGMJ"
"傯","0x50af","82f4","zǒng","亻","13","null","傯","WTLN"
"傰","0x50b0","82f5","péng","亻","13","null","傰","WMEE"
"傱","0x50b1","82f6","sǒng","亻","13","null","傱","WTWH"
"傲","0x50b2","b0c1","ào","亻","12","土","傲","WGQT"
"傳","0x50b3","82f7","chuán zhuàn","亻","13","null","null","null"
"傴","0x50b4","82f8","yǔ","亻","13","null","null","WAKK"
"債","0x50b5","82f9","zhài","亻","13","null","null","WGMY"
"傶","0x50b6","82fa","qī còu","亻","13","null","傶","WDHT"
"傷","0x50b7","82fb","shāng","亻","13","null","null","WTJR"
"傸","0x50b8","82fc","chuǎng","亻","13","null","傸","WDQQ"
"傹","0x50b9","82fd","jìng","亻","13","null","傹","WUJQ"
"傺","0x50ba","d9d1","chì","亻","13","金","傺","WWFI"
"傻","0x50bb","c9b5","shǎ","亻","13","金","傻","WTLT"
"傼","0x50bc","82fe","hàn","亻","13","水","傼","WAKW"
"傽","0x50bd","8340","zhāng","亻","13","null","傽","WUJH"
"傾","0x50be","8341","qīng","亻","13","null","null","WXDM"
"傿","0x50bf","8342","yān yàn","亻","13","null","傿","WGHO"
"僀","0x50c0","8343","dì","亻","13","null","僀","WAQH"
"僁","0x50c1","8344","xiè","亻","13","null","僁","WTON"
"僂","0x50c2","8345","lǚ lóu","亻","13","null","null","WLVG"
"僃","0x50c3","8346","bèi","亻","12","null","僃","WAQE"
"僄","0x50c4","8347","piào biāo","亻","13","null","僄","WSFI"
"僅","0x50c5","8348","jǐn jìn","亻","13","null","null","WAKG"
"僆","0x50c6","8349","liàn","亻","12","null","僆","WLPY"
"僇","0x50c7","834a","lù","亻","13","null","僇","WNWE"
"僈","0x50c8","834b","màn","亻","13","null","僈","WJLC"
"僉","0x50c9","834c","qiān","人","13","null","null","WGKW"
"僊","0x50ca","834d","xiān","亻","14","null","僊","WSDN"
"僋","0x50cb","834e","tàn tǎn","亻","13","null","僋","WWYM"
"僌","0x50cc","834f","yíng","亻","13","null","僌","WLTY"
"働","0x50cd","8350","dòng","亻","13","null","働","WTGL"
"僎","0x50ce","8351","zhuàn","亻","14","null","僎","WNNW"
"像","0x50cf","cff1","xiàng","亻","13","金","像","WQJE"
"僐","0x50d0","8352","shàn","亻","14","null","僐","WUDK"
"僑","0x50d1","8353","qiáo","亻","14","null","null","WTDK"
"僒","0x50d2","8354","jiǒng","亻","14","null","僒","WPWK"
"僓","0x50d3","8355","tuí tuǐ","亻","14","null","僓","WKHM"
"僔","0x50d4","8356","zǔn","亻","14","金","僔","WUSF"
"僕","0x50d5","8357","pú","亻","14","null","null","WOGY"
"僖","0x50d6","d9d2","xī","亻","14","金","僖","WFKK"
"僗","0x50d7","8358","láo","亻","14","null","僗","WOOL"
"僘","0x50d8","8359","chǎng","亻","14","null","僘","WIMT"
"僙","0x50d9","835a","guāng","亻","13","null","僙","WAMW"
"僚","0x50da","c1c5","liáo","亻","14","火","僚","WDUI"
"僛","0x50db","835b","qī","亻","14","null","僛","WADW"
"僜","0x50dc","835c","dèng","亻","14","null","僜","WWGU"
"僝","0x50dd","835d","chán zhàn zhuàn","亻","14","金","僝","WNBB"
"僞","0x50de","835e","wěi","亻","14","null","null","WETO"
"僟","0x50df","835f","jī","亻","14","null","僟","WXXT"
"僠","0x50e0","8360","bō","亻","14","null","僠","WTOL"
"僡","0x50e1","8361","huì","亻","14","null","僡","WGJN"
"僢","0x50e2","8362","chuǎn","亻","14","金","僢","WEPH"
"僣","0x50e3","8363","tiě jiàn","亻","14","null","僣","WFWJ"
"僤","0x50e4","8364","dàn","亻","14","null","null","WKKF"
"僥","0x50e5","8365","jiǎo yáo","亻","14","null","null","WFFQ"
"僦","0x50e6","d9d6","jiù","亻","14","木","僦","WYIN"
"僧","0x50e7","c9ae","null","null",,"null","null","null"
"僨","0x50e8","8366","fèn","亻","14","null","null","WFAM"
"僩","0x50e9","8367","xiàn","亻","14","null","僩","WUEG"
"僪","0x50ea","8368","yù jú","亻","14","null","僪","WCBK"
"僫","0x50eb","8369","è wū","亻","14","null","僫","WGHN"
"僬","0x50ec","d9d5","jiāo","亻","14","木","僬","WWYO"
